bananas_ranking,username,bananas,total_breaks
1,bananaramadama,20.390619789,85
2,auguste,5.7326203055,90
3,TheRealIdefix,1.5148155132,92
4,ABC,0.2810911715,27
5,O_o,0.2316028542,69
6,patator,0.1949426034,78
7,c2kc,0.0496984453,57
8,scnucrypto,0.0244525867,18
9,Cronokirby,0.0237836393,8
10,Account,0.0207031753,3
11,LLL,0.0155693545,28
12,Optimus,0.0113676973,2
13,nexus,0.0106559918,4
14,bluecat,0.0042740569,27
15,just4fun,0.0017735022,12
16,jerry,0.0002692083,11
17,Bi,0.0002439607,12
18,GMorseCode,0.0000465191,2
19,OoOoOOoOO,0.0000417466,8
20,mandlebro,0,4
20,edgarcuisantes,0,62
20,LeMusclay,0,52
20,Yoptimus,0,27
20,rh0main,0,5
20,jb,0,52
20,cattom,0,6
20,yww,0,1
20,hexcomets,0,1
20,Masrt200,0,7
20,Fich,0,2
20,Shadowwws,0,2
20,GoGoCommando,0,6
20,SPace,0,3
20,Pouet,0,13
20,Maidei,0,1
20,Avalons Wanderer,0,17
20,Sir Kwit,0,4
