datetime_broken,breaker,strawberries,program
1631124740,LLL,0,gifted_carson
1631124139,LLL,0,musing_bhaskara
1631123743,LLL,0,trusting_heyrovsky
1631088398,O_o,0,trusting_heyrovsky
1631086495,O_o,0,nifty_lamport
1631086432,O_o,0,suspicious_lichterman
1631086164,O_o,0,heuristic_meninsky
1630909309,TheRealIdefix,0,nervous_davinci
1630478756,O_o,0,hopeful_kirch
1630306785,O_o,0,confident_benz
1630306767,O_o,0,suspicious_minsky
1630306737,O_o,0,quizzical_newton
1630305938,O_o,0,kind_kalam
1630305923,O_o,0,optimistic_booth
1630305491,O_o,0,relaxed_noyce
1630305477,O_o,0,bright_lumiere
1630305462,O_o,0,heuristic_nobel
1630305448,O_o,0,jolly_lamport
1630305431,O_o,0,sharp_wright
1630305410,O_o,0,smart_blackwell
1630297877,O_o,0,affectionate_johnson
1630297858,O_o,0,objective_goldberg
1630297833,O_o,0,ecstatic_brattain
1630290130,O_o,0,flamboyant_engelbart
1630290112,O_o,0,agitated_ritchie
1630290095,O_o,0,epic_dijkstra
1630290077,O_o,0,frosty_rosalind
1630057501,TheRealIdefix,0,keen_ptolemy
1630045802,TheRealIdefix,0,ecstatic_khorana
1629973293,Shadowwws,0,festive_jennings
1629972671,Shadowwws,0,sad_curran
1629964672,TheRealIdefix,0,musing_joliot
1629876843,TheRealIdefix,0,condescending_boyd
1629840977,TheRealIdefix,0,upbeat_banach
1629840799,TheRealIdefix,0,determined_yonath
1629789335,TheRealIdefix,0,smart_morse
1629789224,TheRealIdefix,0,priceless_feynman
1629784569,TheRealIdefix,0,stupefied_kepler
1629735581,TheRealIdefix,0,clever_hypatia
1629735553,TheRealIdefix,0,modest_darwin
1629735515,TheRealIdefix,0,gifted_carson
1629735245,patator,0,trusting_heyrovsky
1629735220,patator,0,suspicious_lichterman
1629735195,patator,0,heuristic_meninsky
1629735176,patator,0,smart_morse
1629735165,patator,0,priceless_feynman
1629735153,patator,0,thirsty_mcclintock
1629735138,patator,0,nifty_lamport
1629735126,patator,0,musing_bhaskara
1629735115,patator,0,elegant_bell
1629735088,patator,0,stupefied_kepler
1629735060,patator,0,gifted_carson
1629735043,patator,0,modest_darwin
1629735029,patator,0,clever_hypatia
1629729163,TheRealIdefix,0,cool_panini
1629722492,Maidei,0,nervous_joliot
1629700846,TheRealIdefix,0,objective_swanson
1629655133,auguste,3.398152678,agitated_curie
1629655110,auguste,3.4506971447,quirky_curran
1629654684,bananaramadama,4.9569552013,ecstatic_khorana
1629616019,TheRealIdefix,1.5148155132,famous_gary
1629615916,bananaramadama,1.5268617124,famous_gary
1629615597,auguste,1.5571859317,famous_gary
1629590580,auguste,1.4361122308,musing_joliot
1629556045,auguste,0,goofy_mayer
1629543151,auguste,0,clever_hypatia
1629542998,auguste,0,modest_darwin
1629542737,auguste,0,gifted_carson
1629542252,auguste,0.083291358,frosty_albattani
1629532939,TheRealIdefix,0.7432692829,goofy_mayer
1629529150,auguste,0.0020440379,determined_yonath
1629525072,bananaramadama,1.4059756715,goofy_mayer
1629522202,LLL,0.0056315629,modest_darwin
1629520831,bananaramadama,0.0211456185,clever_hypatia
1629520617,bananaramadama,0.0196228681,modest_darwin
1629520257,bananaramadama,0.0399737635,gifted_carson
1629514653,TheRealIdefix,0.2911451098,gracious_wilson
1629514653,auguste,0.0979050298,condescending_boyd
1629513365,auguste,0.0961664973,upbeat_banach
1629512096,auguste,0.4099840738,gracious_wilson
1629511471,auguste,0.3193162616,stupefied_kepler
1629486688,TheRealIdefix,0,trusting_heyrovsky
1629485498,LLL,0,heuristic_meninsky
1629485463,LLL,0,suspicious_lichterman
1629485437,LLL,0,nifty_lamport
1629483459,bluecat,0,trusting_heyrovsky
1629481915,auguste,0,trusting_heyrovsky
1629481744,ABC,0.0000110496,trusting_heyrovsky
1629479285,bananaramadama,0.0059313037,cocky_bartik
1629478261,auguste,0.0139072852,cocky_bartik
1629476149,TheRealIdefix,0.0408703892,cocky_bartik
1629473247,TheRealIdefix,0,determined_jones
1629462454,auguste,0,suspicious_lichterman
1629458691,bananaramadama,0,cool_panini
1629454279,Yoptimus,0,practical_cori
1629453994,Yoptimus,0,optimistic_jennings
1629453960,Yoptimus,0,amazing_aryabhata
1629453927,Yoptimus,0,wonderful_roentgen
1629453780,Yoptimus,0,nifty_lamport
1629453717,Yoptimus,0,heuristic_meninsky
1629453692,Yoptimus,0,suspicious_lichterman
1629442943,TheRealIdefix,0,suspicious_lichterman
1629439497,bluecat,0,heuristic_meninsky
1629438739,bluecat,0.0042740569,suspicious_lichterman
1629438278,bananaramadama,0.0080034972,suspicious_lichterman
1629398568,bananaramadama,0,nifty_lamport
1629375177,TheRealIdefix,0,heuristic_meninsky
1629374496,bananaramadama,7.3274056056,hardcore_kowalevski
1629373176,bananaramadama,0.0001869481,heuristic_meninsky
1629372954,auguste,0.0005725286,heuristic_meninsky
1629358431,bananaramadama,2.1892422676,nervous_davinci
1629356386,auguste,0,smart_morse
1629353303,ABC,0.0024357779,smart_morse
1629285910,auguste,0.0453346939,priceless_feynman
1629282745,bananaramadama,0.1054664172,priceless_feynman
1629280131,O_o,0.1758852908,priceless_feynman
1629280044,ABC,0.177693868,priceless_feynman
1629276245,bananaramadama,11.1930256602,clever_kare
1629276052,bananaramadama,0.0039739991,objective_swanson
1629272469,auguste,0.0154241235,thirsty_mcclintock
1629271790,auguste,0,determined_jones
1629270151,bananaramadama,20.390619789,keen_ptolemy
1629269957,TheRealIdefix,0.0462772889,thirsty_mcclintock
1629269016,yww,0,nifty_lamport
1629262780,O_o,0.2316028542,thirsty_mcclintock
1629262032,bananaramadama,0.257926167,thirsty_mcclintock
1629221784,bluecat,0,nifty_lamport
1629212206,auguste,0.0000116298,nifty_lamport
1629212151,GMorseCode,0.0000465191,nifty_lamport
1629212008,TheRealIdefix,0.0001860764,nifty_lamport
1629205323,bluecat,0,musing_bhaskara
1629202356,TheRealIdefix,0.0001869709,musing_bhaskara
1629188901,bananaramadama,0,elegant_bell
1629188825,bananaramadama,0.291223098,determined_jones
1629092507,bluecat,0,admiring_lamarr
1629031976,auguste,5.7326203055,cool_panini
1628975566,auguste,0,elegant_bell
1628973605,TheRealIdefix,0.0074693153,elegant_bell
1628601585,GMorseCode,0,sad_curran
1628008608,jb,0,hungry_liskov
1627997384,jb,0,competent_heyrovsky
1627975305,O_o,0,eager_euler
1627916584,LLL,0,epic_borg
1627916522,LLL,0,competent_heyrovsky
1627916365,LLL,0,amazing_aryabhata
1627916343,LLL,0,optimistic_jennings
1627916321,LLL,0,wonderful_roentgen
1627914262,patator,0,zen_clarke
1627914250,patator,0,fervent_montalcini
1627906014,bluecat,0,wonderful_roentgen
1627905989,bluecat,0,amazing_aryabhata
1627885272,bananaramadama,0,fervent_montalcini
1627884763,bananaramadama,0,zen_clarke
1627869935,O_o,0,amazing_aryabhata
1627869917,O_o,0,wonderful_roentgen
1627867760,O_o,0,fervent_montalcini
1627867293,O_o,0,zen_clarke
1627800157,auguste,0,zen_clarke
1627759548,TheRealIdefix,0.2810911715,zen_clarke
1627759511,ABC,0.2810911715,zen_clarke
1627658507,auguste,0.002771401,fervent_montalcini
1627658350,TheRealIdefix,0.0034214827,fervent_montalcini
1627658180,jb,0,epic_borg
1627657834,jb,0,practical_cori
1627657061,jb,0,optimistic_jennings
1627656114,jb,0,amazing_aryabhata
1627656080,jb,0,wonderful_roentgen
1627650857,patator,0,wonderful_roentgen
1627650838,patator,0,amazing_aryabhata
1627648519,edgarcuisantes,0,happy_carson
1627648485,edgarcuisantes,0,gallant_ramanujan
1627648419,edgarcuisantes,0,wonderful_roentgen
1627648401,edgarcuisantes,0,amazing_aryabhata
1627648369,edgarcuisantes,0,optimistic_jennings
1627648351,edgarcuisantes,0,dreamy_curie
1627648326,edgarcuisantes,0,hungry_liskov
1627648305,edgarcuisantes,0,nervous_joliot
1627648270,edgarcuisantes,0,practical_cori
1627648251,edgarcuisantes,0,competent_heyrovsky
1627648234,edgarcuisantes,0,epic_borg
1627644012,O_o,0,festive_bohr
1627634521,O_o,0,epic_borg
1627634083,O_o,0,hungry_liskov
1627621883,bananaramadama,0,amazing_aryabhata
1627621850,bananaramadama,0,wonderful_roentgen
1627606432,O_o,0,competent_heyrovsky
1627606397,O_o,0,practical_cori
1627590886,auguste,0.0027596541,wonderful_roentgen
1627590882,TheRealIdefix,0.0027596541,wonderful_roentgen
1627588990,TheRealIdefix,0,amazing_aryabhata
1627579501,auguste,0,amazing_aryabhata
1627577832,ABC,0.0000433241,amazing_aryabhata
1627544240,O_o,0,gallant_ramanujan
1627544121,O_o,0,nervous_joliot
1627544022,O_o,0,dreamy_curie
1627543113,O_o,0,optimistic_jennings
1627478039,bluecat,0,optimistic_jennings
1627464890,patator,0,optimistic_jennings
1627455044,TheRealIdefix,0,optimistic_jennings
1627452660,auguste,0,optimistic_jennings
1627449217,bananaramadama,0.0021160908,optimistic_jennings
1627392613,patator,0,dreamy_curie
1627026383,bananaramadama,0.000622664,dreamy_curie
1627026061,TheRealIdefix,0.001400994,dreamy_curie
1627025591,auguste,0.0027025346,dreamy_curie
1626881258,patator,0,nervous_joliot
1626871347,patator,0,hungry_liskov
1626869642,patator,0,happy_carson
1626869201,TheRealIdefix,0,hungry_liskov
1626866695,auguste,0.0103727814,hungry_liskov
1626865491,bananaramadama,0.0241648454,hungry_liskov
1626850705,TheRealIdefix,0,nervous_joliot
1626842815,bananaramadama,0,nervous_joliot
1626814009,auguste,0.0045741046,nervous_joliot
1626357525,Yoptimus,0,epic_borg
1626357483,Yoptimus,0,competent_heyrovsky
1626357412,Yoptimus,0,gallant_ramanujan
1626357377,Yoptimus,0,happy_carson
1626167195,jb,0,gallant_ramanujan
1626166377,jb,0,happy_carson
1626126982,bluecat,0,quirky_keller
1626126880,bluecat,0,boring_knuth
1626125019,bluecat,0,epic_borg
1626124966,bluecat,0,competent_heyrovsky
