strawberries_ranking,id,funny_name,strawberries_peak,user,performance_factor,public_key,proof_of_knowledge,datetime_published,datetime_first_break,total_breaks,datetime_submitted
1,227,keen_ptolemy,20.390619789034403,zerokey,10.677000377381699,C14CD88E3676B4B5D79E6547ED90DA43F2381EC20CA251925B2D0A7A1A594743948AF7B0B5FD6AF4B97CCE4DF4F4848A536E6243EFC80ACC4922C0FD8900F1B7,B45DADFB1236F81CCA96EA62811222410ABE117224865C2988485E11074407B7C88344517D7D888B04A8D555934C45D7609694DECDD39961FEB37F1FCCEE5A86,1629150701,1629270151,2,1629150526,
2,226,clever_kare,11.193025660205905,zerokey,5.268022320829658,24A5B8DE827036C915D1A96D04C512EC548E45B36B48E16ADA083708512E2F690FBA517095CD982552F6EDB78F3D4EF2800A767BD9469D3FA9E53E4AE2CF8537,8FC706F15F110EE8280C6F0D621133DBF7D973546DBEA1EDA82C96767D3ACB5CB9A55742EDE1B0557D1AA74AF58C2B3F6CFAD795BBFFA4D6733F48E0B1E6F0A8,1629150296,1629276245,1,1629150085,
3,261,hardcore_kowalevski,7.327405605564067,auguste,9.616225992775055,e37c0863817ddab820ec38b4e435f941e8b59da6d4ea7dfc55197fe35d32b1843014877303641d70d128ba4f5bb6e7b54705d3227741edd98e1feb0d10de7870,B3EEEE3631B68C7BD09D5AB9EAD76EBB1DB976180C2A216422880E5A0CF8373D6913AADE3B67A5B45ED00C83F5FAC728A36C03AA134830297C8B7207703B3EBC,1629299020,1629374496,1,1629298806,
4,209,cool_panini,5.732620305519423,mcs,5.780692382834788,d4417aa15d235a544fac96ba3ecc6658b4935cbbc856c8b46995fdd9645848ee7f58b0b33de66dd7945a882ecade9fd9b263832944a6a59020241a6056439526,165dd54d7c52b51e9227b4da789f65ded0f36c4e7148b40d8cdad80e3c5c83fb95477dda6f0eb41ce23e1144ff88341bf850d48fd1558ffaf24c63f1ef34a5e9,1628945921,1629031976,3,1628945561,
5,345,ecstatic_khorana,4.95695520133522,auguste,7.521612504310742,df351e067585e546a833cb7ff71223ce01f7dcd116be435c761e6259423fd41faaf42a6d63d8873a63fa572601fd4a4d36889f3db2aa137c050ae35cddaf427b,4A08C522A78B121A3D0D88517E2B53070F147C4761C5BD7305712F1F56EEB45A885408654E22038A0360C197A5C947888298FB1A2C4430E1BCB250A41A26C6DC,1629584524,1629654684,2,1629584306,
6,336,quirky_curran,3.450697144707845,BlackSea,3.523725749056571,8af542ffb02a16f7dc013b6711a4874e0ffe2ed45956309427e40550c309e6b933a79999e4558ddf814bc40420ab0a477e95b2303f06dfa95c7911360c9e7a69,28415AF10ABA7B1E6A105235B5FC683FCF6572AA7AA3A5A77DF3F9143C36719B4FF8F1ADE72A9EDAA1FC829A9DDB449F26D7C49B448C987E241BA50FCF643388,1629569562,1629655110,1,1629569125,
7,335,agitated_curie,3.398152677975354,scnucrypto,3.450669890129796,ed00577b14b38597acd04af7ea05fd5ad66e9ce474867094e16b7a1ec48f15d3fc57314c01a37f9a28b9d4b80b7fcf95fb58fa958252781c6f28bb00b7daf9fe,27A86766A0A23B9F6AEA18CCBD19EEA0C3F527C8B039A3398369762F03D620C4D5DB03B27347DF8DB9477500F513E42A93A53103A57309399BE3FB7BEF946F08,1629569392,1629655133,1,1629569051,
8,262,nervous_davinci,2.1892422675921113,auguste,10.296334659578221,c65ed9b4754ac88dc592f3c217cce8db9d868f9a2aac54f009d4b01e44112b396cf9000c7fc5c57ed8e1a9d1883e93b0c0a047cea7aca43fead3a024226d82de,785F263550EC5D7F0143D92FFADA302BB48B4053F67746768647CB289574A876322EECA1A1B9057F9353842C88986A4C6785FF2396086A4114690EFBB33D3715,1629318543,1629358431,2,1629318415,
9,346,famous_gary,1.55718593172273,Maidei,12.365840924440267,d292885690ae8bf20e9ab64b9b8140375b639e4e433c5501a7a53a468463e41716e06900c2042eef533e690c82882ef87088a9468ea5716fc3c0d2f8a186a9fb,8676EAE335DEE1DDC940F5816E0640465061930F8F7A868C2A3AD91146C97BF963A75255C3AFCA2B5DB52554BEBCA863E7956C164FB4C4E4C1F437C490281A39,1629584885,1629615597,3,1629584618,
10,328,musing_joliot,1.4361122308081102,mcs,6.614062961367211,d6ab94637395ada4abe129d63988a5be264bb4d8ca01afd91a2aeb2fdc0c7f3edef8a568b477a7c2d63d2203081d78d38d5d67d6a58e6fa7308badc91e32af6d,befcfb4acf2806c8b8e95228dba08d2d5bc7b7ab3994a09d7f1752b076cb08db360755048030cc06577d61912e9a499760a0361ed0847f3a3d31c2006ace3297,1629550316,1629590580,2,1629550153,
11,305,goofy_mayer,1.4059756715444445,Maidei,12.653781043891826,d960729aac75d026512a79322cede73252d32bab8c99b7aeb20f3809ce410f6dc6a8dcf1ac0812a361336401b196bd2bab03ef94e69c26031b7533d7b1ba2b4c,D60B3455A3A9E4B781D9B69EC6957ACC7A6BFBE8E7003EDB421010C8556F5E818EA9F1B84243CFEAAE13B57096B4456BAEF889DB10F6264BF615D2D8C3BB0932,1629496234,1629525072,3,1629496010,
12,304,gracious_wilson,0.40998407379407686,bluecat,11.925303699291053,9BE49F29F0F6B8D1BB7593B77016F34C912B89B04FD788C4D7246D46BCF2887BE93484285223156C0A1536820816DB72072C28EF13C40163FB9E046A21057DEB,BB6C574A7F3C013777E050A0633CCA70C2E5FD4A751E0CC04CEE532E178F4F8B4494D29B8C1552CA7CE9A98A8E5C00B32313FC94BA6F5369B109197A94DB2AC9,1629496018,1629512096,2,1629495756,
13,307,stupefied_kepler,0.319316261618169,BugsBunny,18.150111019161393,7F44D9CC05DD32887F35DC972724C1C74E8FD6FC4C1D49901268ADF21C125E39E99DD5E830E6316C0A51EEB9AAA72E7393141F82AACDC14D8DBED940176D7505,8C98E3655189A0A52B535D8B5D3369599CE5D856671E849EB9CE784BE8BC1935C404F03D709E3249E116373C5BE5B653262C3C03970A995D5DA95C646A5AF6EC,1629499982,1629511471,3,1629499901,
14,228,determined_jones,0.29122309803674995,GMorseCode,3.627692570666815,4A492B7E3EDE32E9BAC1A67B94015DC70C4435C1F280D7D1709F107670C36FC3B5C04A367E97F52F4F99F0465CDD2FDF270E2DF3AD8DE7E979522793FBA305F5,53BB15E2FDE6991D6F578DA1C059758CA90568803C5E82F8FEE743ACA2C8C5C28B929544EF183583D593556338317228FFAA04A4ECD39CDD5E7394097944ECDC,1629164299,1629188825,3,1629164150,
15,193,zen_clarke,0.2810911715474411,BugsBunny,17.59662641347479,1BCBC8D78B29A0786C9402D11DBB91685AAA298467A7C88DD68192E479BD1DDB45E20194FF03197CD7F5FC63EAA8BBC851B131B9358D703AC136748230C66FC2,34DC4C3C685F5495D86DAA596D5FA1099A7A9E05BE0B1E7DAA49A132452EEE200C205B290BA7F78DFF82BD635A4BF8CC170B5796CB09783A47DCE3F2B3A63016,1627748588,1627759511,6,1627748397,
16,89,cocky_hopper,0.2758603570039964,OoOoOOoOO,9.079602486996942,32C921D469A4F261C2D8A90D6912A67ADEB243F15B74D3CB976EA11D1F78C228F6767FAD2FD4841740F9A6DFAADC64AE9C9580B17F3004182C384FDB6929CAAD,E00F887D6CBE3822C025A863001FBE9AD204276E402216CBE14003DB676F76E213A2DA9F9112ED9BEF07CC6D002FE710C56404E227C1199396BE9D3DF0F7DDCA,1621770428,1621785512,10,1621770038,
17,42,practical_franklin,0.274040862505998,Sir Kwit,3.1460270310977405,F4B9CAD7748D5F9FF60E8AD0CC9ADD44406A1EFB6CD135111163703E6EE79594ADC7B9E198BEC754B55D486B8D8CF0408E788B74DF347102C756E32F81DE5453,F840CF803F09EEBE3C2A2E4449C53995D676EAC9E2348E7827BAFFE3E0EB5FDC6B9C9C2710F439CE3BCB931BE81EA2230E93F6DB084A988C2E149237DA368021,1621522542,1621548043,10,1621522163,
