strawberries_ranking,id,funny_name,strawberries_peak,user,performance_factor,public_key,proof_of_knowledge,datetime_published,datetime_first_break,total_breaks,datetime_submitted
1,62,objective_goldberg,224.03057113452962,Idefix,9.386508260925906,6479fd9b3fe469c1ea7e2437e2c11a9d324e553562346e17ac39052636320527f84c81979fa3917dfb5baa8395e9833746474078c75b4ca408512cee7caf83ad,EBECA4443429C279E2EB728C3C2BF541C0EF9439322B00D07637C8A39FC476AA6FF791B8F4953CEA7EACB73379A242383D0FD5C193A34B111006D367BA0AA265,1722949291,1723371437,1,1722948399
2,87,eager_euler,218.0431093459293,Idefix,9.114901376699864,27ac8b201be616d41ada6f72f28d9db41b45eca2f6d1a8c28502fdf720a82977a1695308a76fd3d59e2e97450f50fa8ea142252a25ce5b638d5c7ea877cc9d60,CBD2187F975D97D3FE15E99F9B2F8C9983103D016EE945D171F1B5D751A546DE01D316F52F1AEE3A7C924B7777656775A71379044703937DB4FB72AA77E00409,1723050919,1723473523,1,1723049915
3,107,sad_einstein,160.14901808866125,ἀναμάρτητος,11.014033092525755,543A6F6A496B6FD011331F39D7C1A0076BAED6A81836CD03A75FC19E90CC590ACA70C3762301FAA3203E3D62D6BAB5B51C9D0D43219916B7FDC3BB1AF563F356,C26022E3820E4D78A58C2D5AA5FBBCB4932A5AE2322675A27F4AA7F6417906BC5A244DD87267837DD7D3842834C911BED6F36FAC8B1D4A35F4F67D16713A2E9C,1723204523,1723534026,1,1723204341
4,105,trusting_mestorf,48.389090298658346,Idefix,11.429023844843098,6270af93d1b6015983b6fd92be1f2c2e9b8ecabc6142f007e7987bc949d8228ce78704fe2e37705c089b25c714d5d0c83d18e18aac2217d7bf84b489c51d7bf0,426E9D906FB6F932F7BD22831A3E296E013536D992A724735E2EA3C45949EB05E64D7CFDFD0F8CEB55AA659073E5A68CC555CED27A14140B62DA710E727ECDF5,1723129457,1723307247,3,1723128576
5,98,adoring_kowalevski,48.369441577014626,Idefix,12.968629406594797,dfa741be140295338804c0f2659a7b9a3e94f55dbd77a8d56bf35ef6e20dc062f2702fc6bf9b49c4425e206fbe07488e9d26ecedfa0f771e0509837de2f5f9e8,5327AC22FAC9AE4C685BC8CE07788431984E73C691998AAED9F4825237DFC3BE23E7833477FAB70B9BB224113EE7DEF9F125007C1EAD68F15AF7057F11765BC4,1723108849,1723275709,1,1723108720
6,61,nostalgic_noether,30.318961496543093,Idefix,4.386095529671594,d760a6594b9640dd2db550b80d07e186618da24857cc671bd5b3eaa80dbffd35edb7d9680941df4b75dc884c8ce713e54db912f26a8672a577af337c3c74b284,A0608E9EED6FB9012D36D4B39CCE2B9CE38646DBE96AE23C14DBB0AD08AA091E13B234861FBFE66269B57EF787AF8CB974F70DBA8114F05ED613743393F5EEA6,1722949196,1723176401,2,1722948286
7,81,confident_benz,27.17269336759633,Idefix,10.735134592293415,F6F551805839BF7DD148DE2980CE429F1232E75C99F208A2432021846ED074949636F619005B6AC2077E30A3CB5C54D05207A9F4924A1AF7BB41A61ABF572E67,1336F5565F14240ACEC7BB153DDE4AE257C7CB0A69D37A3A28A3BB13BBEB76B8E2D14AF371697DA003A02AAE47C39F8B06C332F3C35D0B770F8C6EE9859DF6E2,1723033680,1723171164,2,1723033160
8,93,brave_swanson,26.77821946453574,bluecat,6.206887225970722,97D25D588E0AFDCF24751C2F96AACA8C8E9D8DC3AF6BCEEBC8CBB5EEE38151E46A704645324D7434071D5287BA20E970C7513E21A1EB64DCE451B9AB22849D1D,6A0A5FE241845DFB6344163BC68A968A4A01961232970F8B261F1F6D45590086BD63D7BB215B5B82F41B89B2BE95795D40C0BF9556B145EB06E6C961446278C5,1723059554,1723239019,2,1723058630
9,49,elastic_bell,25.761581970457208,bluecat,11.087368034426827,F67FDA830932B1D672360D8596BEFA15361B30A6D365CD7FF2820F361CA706B757DA0F62FA38619A86FB03AD1794C3835C7B27B0EA9DEDD8734783BFDE7CB52E,1606BD8F038498439F102FF81DCAB8A29C635873611332EE08EB32D49083DF472B59818D65DE4BCD45C39B0B6739A762D64817E9AE50B2E00F0E947519DB014F,1722261770,1722393482,3,1722261530
10,47,peaceful_williams,25.759644530600436,sffoh_kcrek,7.734177378316542,2f5e2e6badeec4fab00ec3bb60fcd20c2e9cba8e7a5977f50e0792dad7aa0fafaf65d85da91ac24cce92b9f70c448ff83c2d96d31c79ad48a1961e54f79b6a8f,602056794204C83DF80A33697B453311A08A84768C363FF14E8904CD914BFEFEA5CA3ED41ADC19C300A270AE9F8517E5C4A259A4C3783027C1204B7F05F5F262,1721482038,1721639752,3,1721481340
11,73,heuristic_nobel,25.6334138970415,Idefix,6.660311323560637,EBECC47B860B4A662D03BC0C0C356243C64FF80767C08065002A975EA2A849BA4E3CB59252CD8694B05103E2561672D3ADC7F05235031F733F2990C05BD743B7,0DD8910CEFED27446DCE004C3A931249CDBF10AAFF616F57F60A7871BAD7998120E9FDF51E535D13ACF30B5AC2DE4F3780CF7291D574DDCF521D499C48BD54EC,1722961038,1723130587,1,1722960722
12,71,sharp_wright,25.45771310072947,Idefix,9.478079913415998,C98AE1D6258213069269E4F4A187BC3526405B3E5CB35CC16F6559F149B11B0E0C85FD6FF1E420B2C74718A27D12B5C862E889294427E7B93C0C9B1F29E13F87,04898BA514923A3DFCB19EB844023B0AC6E0A91B6191909FC04F405AC221E9123E3F9F9EC5AB8AFB13203D20B82A0D1D6779731FB4C701127EDC0D3325E4E40E,1722960691,1723102310,1,1722960444
13,106,xenodochial_northcutt,23.345932577610256,bluecat,9.717349668083001,8A36F80B06BA318231E58E72344A38C5F6F9BB0B603FE91E313AE28A85B96E5B6F7A87AA8A0BE5726214A89F508C4D1C15F394D8EF4706E064EE21E3480CD19A,06B789A9716102F4644137E34EFC3C40E865E4969DB132599D820BE536C47A067BD6B7FCB975D0F9BE47F5D840478863908E12025F9DCF6F210E16892A35BF76,1723189744,1723323687,2,1723189608
14,104,angry_meninsky,19.325127202230327,Idefix,20.770304042999854,b25242c478e07b56fb344b110911810cce7559f6029f4a07067400b1adeffd67b84367916bbeb16c2cf18fcf3483c9327243e5e4f35f63345e560be52741b5ad,44C6E9FAD6EB83A1685B4C27D0898710C27B2A19AE7377AC403768189F4A081A5154BB11E200FA0E650D758F855C540A102BA21C5E2BEE3AF610752726A7552D,1723122597,1723205938,2,1723122525
15,42,practical_franklin,18.814760201657606,dowejfreglei234,8.983141537674006,35e6ee34120e42c77d86b3b353fdfe69c1ad763c822574b9cc747af2fb1bcd7f4e666947f10e330d76f64c811e6a8773954e6aded74b8b19f88d62e995a245d7,3ED305F1C7BFCB25FD62E6DBF95BF7D832FF42E2B219860016ADE5E748A1F699D2AB880A568206F2792A145AAE1D850A429A6AA9014F7C04E5925B0824A04968,1721167890,1721292935,3,1721167045
16,21,elated_hodgkin,18.803379081169386,dowejfreglei234,10.212022595064619,81e09d95aea2be221795dc67fca12ac892f5ec7a5407cb9f19a4056b83b3d8eee49ce16336a729cdf06f5896f7f5a9b2b593414a816d460fe782a60f59d32288,019B0049F4D9B4519BC7B5A856A93E4DEF0C020C1FEBB7F958D736D7FD689C66CB1AB2B17530DE8D4D920ED72B60C8DDC70CE70A1BB69C4C11D900C2D4D98478,1720390316,1720507574,4,1720390029
17,24,lucid_roentgen,18.785464115555556,dowejfreglei234,10.566823565013735,add85b38d5cdb1c7f95bfbdce9b7b87194dba18411927486497375418169a13c9899e2043083e86ecfc406566d0c45bc4700bebf6884c57ab33b6c75182e5363,49842031490897E4C1E612344CEDC0CFED1C1B55095FC7641F1B51859549A822515B5CE635F92BAA34033785C71BA2C43183C12EA9D5330EEB0B139EEEB223F0,1720391538,1720506745,4,1720390836
18,25,jovial_wiles,18.756395412422034,dowejfreglei234,10.992507556069757,be2032bf39e4b43767da6b618fe24d29ffa5a5359476382c09a7df21276cbd43b818d718866f13f017536d67563262c4c7281716e2cb67b033e9c5542e8d932b,3FCFFDA2164169243159EAE656ECE48B0BC10DE411F815779AE65A0439414CAFAA9336C363B7D4AC99DE91203E34F04F3B76ED8D0E5A0516684CE8EFBA231911,1720391688,1720504557,5,1720390903
19,23,upbeat_bose,18.6508601556255,dowejfreglei234,10.233668123751668,3937edbe92b2238f6deefcc9d02c5ed6f08fb6aebc3a2d3c550a1a77feb2fecaf52de9574f47448d71b99072344ef9a05f0537a60a5f71dc4aa0058289f7776a,F56E347244168A2A197C5F6AD49C10853838BCE915DD070D28802D0CCB39B31604A251F8484187E5AF28EBA757C74F80CBEE5041B4D8529D41086F587DF5DD96,1720391371,1720508016,4,1720390746
20,26,distracted_leavitt,18.36109805887129,dowejfreglei234,10.168612445821797,fada0a0d45761251bc00d99741e61510cf4e4b38643f6a4d765edf9682da3b2b5df7168f3532e8b23c0cb4502c7302a8979cd2299ac523abdb52f77b59fa4aec,3D3FF78F5B39127B32A9A45A109A13AE6B2E04BE525D48F4F6C4EA597E7B126BA37232C77145A144908866298527EEDF633DD93D512A01EEEAE68289EFEEDB49,1720391923,1720508062,4,1720390962
21,41,nifty_heisenberg,17.36784956694537,dowejfreglei234,8.244768403155561,b0d95997432ec4f52e93d1a4f46c1bc3c0915cff20c356346306ecfd88895cf4b17ca1276e5b1ce607201ef8e0668524dc36a267bfe0d63d2fbe153550527408,889E1309586DD9670AF9C388DFA79E291992497F5FDB3531E48ADFDBD90A6A24421356F507EEA9A5A957201EFE1706A64B1759209018E0E9C7745B8774AF5265,1721167546,1721292985,3,1721166999
22,74,bright_lumiere,17.346946924072512,Idefix,16.333536674137697,ca20155c0c6b42bff71cd980f208320bc12a4941ad590f1a82fc69421256868e6cd194619b1c60545e4a37c661dd4bd43154e3105517164f6d8be9d4a4746073,9FB4744AD69910B67B8F611D57948D843FE9E429D277F44A6DB29240BB960C5989A3E39896929E6A9BABD2F31E1245F79A00E95FE14FDB7727CE9A650A7EFE8F,1722961177,1723050222,2,1722961049
23,37,musing_brown,16.537707348780486,bluecat,14.329124601468674,6D62BBAA20B948BB76746F73A0246EC7BF9DD89AF2E431E22C45927D26D6811C5C96E3DE6CB807D2C94F13A0D7C6372231CD53C04168C56AA0B924F3991DC154,954CAF3B00A7BCDC7CED9E884C73CB92FEAB1823FD4BD4A6605552A3F958CBBB2A37170072A71D3B9EBD21354F476549279A103C67AAA40E755A5719817835E5,1720641730,1720734565,3,1720641586
24,22,serene_aryabhata,16.1745936574349,dowejfreglei234,8.829471009962075,f8c92beb871d69c6017e8a4a4356017cda3547def90fc98ca508eb2026714f30bce0e7704cde40c03a2dd11f655c3e7b65e8c7cd14eb9e7bc5819cecfbb095d2,DD5C1B39E0433F1E53209632A9ABA934B2B79762ACE547D611B31D09C6813A4FF1596E4973DF129E20D371B98ADABC7E90DB651ECD285FB17016E6FD941E1D7B,1720391160,1720508116,4,1720390682
25,56,gallant_payne,14.811212833130991,Idefix,14.547366428792799,4b5a2198c361f091aea327beb749e2b4c15a23788e6439afd3956969eeccb5cf682234987f6b4af3fbca8f826d792131c1f56e09ab9906152abcab27be7f78e9,51B96736E31DF5D11CB0EA9B07F096A9F0EE1DE99FCF2BE474D7655C0A392E91FC2F60825E64DBACE8DC96D97503D9D9CA63A20F174C1D3A4267FB6796F5779A,1722711498,1722798711,2,1722711230
26,102,blissful_fermi,14.369292424316638,Idefix,13.75133136072062,d98973b259ef208e261d2c316bf4d7c351ef575ad36fc7bb4cca2d7f63efb33d55577345942f5fb37f0c7cc56a0a891e9d67f3ad71da260eba486f2abfc2eaf3,831295EF7FDE2B8CFAE54237A5F66169352CB897BB8FABC7F04AD5C8FBEB1BCAD00F8007C777BCADD70E4D525F9CE1976D6973987ACAB961918D400AC543494B,1723120245,1723208614,2,1723120086
27,101,vibrant_morse,11.572555893255892,Idefix,10.940675930771294,a4f56a0c4ca041ef7317d7cd85554b908259ab03714502c4cf2431a50887e986181ed6292e6af5e8431dcaea39c986d11333bebfc2cdcb8ba99865f2696561c2,47AC7AA25EB36FD16897CECBF30D11FDC3521B393273F76B407049842E022A803248E686A1571296CAF2336EC2F509B96AA12F19901AA4B1ED277007CA7A98DA,1723119745,1723208638,2,1723119576
28,29,gifted_montalcini,2.770783707470229,dowejfreglei234,7.714468641744961,66b9d3e80faa7cf6874307eaefa78f741081fd64308b080af04d07f84b727c6e5c5d3698bf17f265bc68bb8768538cbe69a91404393618dd6aa23ca1b8572595,EB1B5C4E4FDC93133AC300B97AB416FCBA5123F4429F1CDC69DBC5038BC484940B629A052E8996CCAE8E0D6D5F07C2A7B1943F94FA0B5B3D3B2D4AC7D4BF3EC2,1720474948,1720526771,4,1720473878
29,43,romantic_visvesvaraya,2.1594935356413814,dowejfreglei234,7.876516748032488,a952ca12e6168a89839c67cda20d6f7444d2f0db725189855e1f885e5982030af08e63055cd79901d91ca44aec5f4805bf5f59c64dd2d1947f87bc2242d668bc,F01D327212F4C1F4DC215EDB015CF3AC5ED714D665ABA28E5A0A811B484D583BDA59FAE418725F4BE30A54EFA67BF048C74EC860C41F93084DEEB1EDF2292A8C,1721335175,1721380455,3,1721334496
30,46,dazzling_panini,2.02469379699619,Win95,17.922294658176924,79F62D9D959A405F0134CD8A7F398E1E979B83DBD31924D8B334E0628A7335C3DB3FB5DAE1499DC44972975BAE7574CA670C1612CAE566AC7DD12238110E4A54,86AA046D773233DE1ADFD7A13DE0369EF6B54D7EF10ECF03ABFFDB26AC3D6A0DE2990D921348BBD899D6A0B263DD02D6AACABE10EDF4A4B1C42903E88F5CE26B,1721425566,1721454616,5,1721425454
31,55,famous_stonebraker,0.8521532334810804,Idefix,11.677327964710473,971be611970d0016778e19e8be7abee94c8ca1d7d7435dcf32540fcc6bfce08e76e4d13d73ca4079060b7d2158d77873df031b50189829f8bdbbd02692042269,05F57DA9955DE87D82D42A03177FEA25CA10E082B852E574C432F7F33840CC55A34FE185F6F052A81CFE4B3793A0148F9968DBAAE2F22596D1774568C6702366,1722627878,1722651243,3,1722626960
32,13,gracious_mcnulty,0.8403075746423672,MalcolmCarter,6.4688718366486535,35BB0E0211644298AEB62A0C2DCBB079997CF482211F9E5B8B8BC6332CBE81BA57589A1C8376E62B3A414821A616E3CC502DCE74CCBCA704046D76053B5DF312,B3F7A3C828EC98CCB010B2B740CB0FEA07509FFED40AD22C69C97C3E57FF7A93C0121EFD5A8094C51FFB57442BFE4D79ACC929E2475925F525652B51D3DDC4E2,1717631732,1717662901,9,1717631516
33,52,eloquent_indiana,0.1142180012302253,Idefix,12.805063113687671,0ad2490dbcc90e9cbb675a741286c9baa23d91b2294c34386d24088e75ca851d4581dae23d1bd15fae801941a32033c5eb4766d38b81aa74d676ef7095b6b65d,6FEE348E13F3FB27CE7B7480EB0F1744A04FDA79BCBC31C68B0E671C606E8F0224CFEDEA51EC7CABDC9623562EA499EFE407990B9FA907A8AD8B060E21C166E4,1722611319,1722619531,2,1722610568
